Address,Municipality,classdesc,usedesc,saledate,saleprice
1766 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/20/2012, $1.00 
1778 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/18/2001, $-   
247 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/19/1992, $1.00 
1775 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/8/2006, $1.00 
1759 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/5/2003, $1.00 
1751 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/9/1987, $1.00 
1747 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/22/1998, $-   
1733 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,1/2/2007, $1.00 
1726 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,11/26/2002, $-   
1734 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/17/2001, $1.00 
1746 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/9/2008, $1.00 
1758 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/19/2013, $-   
1796 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/24/2012, $1.00 
1775 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/29/2003, $-   
1759 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/6/2014, $1.00 
1728 HOLLY LN PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/8/2007, $1.00 
1762 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/18/2015, $-   
1774 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/6/1995, $1.00 
187 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,CONDOMINIUM,1/6/2014, $1.00 
187 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,CONDOMINIUM,6/29/2004, $1.00 
187 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,CONDOMINIUM,12/18/2014, $1.00 
182 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,7/24/1986, $1.00 
159 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,7/30/2015, $1.00 
127 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/2/2003, $1.00 
138 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/31/2012, $1.00 
146 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/16/1992, $1.00 
158 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,12/29/2000, $1.00 
162 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/14/2006, $1.00 
164 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/14/2006, $1.00 
188 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,12/12/1989, $1.00 
656 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/30/2000, $-   
232 NEWBURN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/4/2002, $1.00 
16 WINDSOR CT PITTSBURGH PA 15220,Scott  ,RESIDENTIAL,SINGLE FAMILY,7/25/1996, $1.00 
4 WINDSOR CT PITTSBURGH PA 15220,Scott  ,RESIDENTIAL,SINGLE FAMILY,6/16/1995, $-   
0 WINDSOR CT PITTSBURGH PA 15220,Scott  ,RESIDENTIAL,VACANT LAND,6/16/1995, $-   
856 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/14/1996, $1.00 
861 NORTHRIDGE DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/6/1996, $1.00 
27 GREENLAWN DR PITTSBURGH PA 15220,Scott  ,RESIDENTIAL,SINGLE FAMILY,7/16/1986, $1.00 
1022 GREENLAWN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/12/2006, $1.00 
1026 GREENLAWN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/27/2003, $1.00 
1002 GREENLAWN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/8/2008, $1.00 
889 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/18/1998, $1.00 
812 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/3/2011, $-   
820 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/9/2012, $1.00 
100 BRIAR MEADOWS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/1/2001, $1.00 
902 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/8/2015, $1.00 
801 NORTHRIDGE DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/18/2006, $1.00 
307 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/18/2008, $1.00 
802 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/16/2005, $1.00 
291 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/28/2012, $1.00 
287 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/22/2010, $1.00 
263 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/2/2014, $1.00 
270 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/28/2014, $1.00 
804 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/12/2014, $1.00 
286 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/13/1999, $-   
294 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/23/2000, $1.00 
834 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/12/2014, $1.00 
846 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/7/1992, $1.00 
304 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/15/2001, $1.00 
105 PINE SHADOWS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/14/1992, $-   
109 BRIAR MEADOWS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/2/1992, $1.00 
800 NORTHRIDGE DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/11/1994, $1.00 
816 NORTHRIDGE DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/15/2000, $1.00 
358 SHADOWLAWN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/16/2012, $1.00 
350 SHADOWLAWN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/25/2015, $1.00 
717 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/6/2012, $1.00 
643 RACINE AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/22/1993, $1.00 
636 RACINE AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/13/2015, $1.00 
301 SHADOWLAWN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/21/2013, $1.00 
272 DIXON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/10/2004, $1.00 
240 NEWBURN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/23/2009, $1.00 
269 SHADOWLAWN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/24/2003, $1.00 
251 SHADOWLAWN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/25/2008, $1.00 
640 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/2/2015, $1.00 
640 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,VACANT LAND,1/2/2015, $1.00 
271 KENFOREST DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/24/1998, $1.00 
1095 MISSISSIPPI AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/24/2011, $1.00 
1072 MISSISSIPPI AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/7/2000, $1.00 
0 ILLINOIS AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,VACANT LAND,3/29/1990, $-   
1057 MISSISSIPPI AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/7/2002, $1.00 
1060 MISSISSIPPI AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/22/2013, $1.00 
989 MCNEILLY RD PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/11/2008, $1.00 
109 MORTON LN PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/1/2002, $1.00 
1035 MCNEILLY RD PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/16/1996, $1.00 
1019 MCNEILLY RD PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/7/2013, $1.00 
791 HILL ST PITTSBURGH PA 15226,Baldwin Twp  ,RESIDENTIAL,SINGLE FAMILY,10/9/2013, $1.00 
793 HILL ST PITTSBURGH PA 15226,Baldwin Twp  ,RESIDENTIAL,SINGLE FAMILY,3/22/1991, $1.00 
865 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/10/2006, $-   
869 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/21/2011, $1.00 
873 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/31/1996, $1.00 
860 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/13/2003, $1.00 
856 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/15/1998, $1.00 
844 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/12/2005, $1.00 
855 BRIDGEWATER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/4/1995, $1.00 
833 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/18/1999, $1.00 
965 MCNEILLY RD PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/23/2010, $1.00 
961 MCNEILLY RD PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/1/2004, $1.00 
783 HILL ST PITTSBURGH PA 15226,Baldwin Twp  ,RESIDENTIAL,SINGLE FAMILY,1/10/2005, $1.00 
116 NEWBURN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/31/1987, $1.00 
124 NEWBURN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,5/23/2012, $1.00 
223 NEWBURN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/17/2004, $1.00 
222 DAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/16/2008, $1.00 
214 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/19/2014, $1.00 
231 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/15/2014, $1.00 
101 DAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/2/1993, $1.00 
214 PARKER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/5/2006, $-   
224 PARKER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/10/2008, $-   
244 PARKER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/4/2004, $1.00 
135 BEVERLY RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,3/7/1994, $1.00 
1537 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/1/2008, $1.00 
235 PARKER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/28/2003, $-   
230 ARDEN RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/25/1992, $1.00 
214 BEVERLY RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,12/10/2014, $1.00 
267 ARDEN RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/2/2006, $1.00 
124 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/14/2004, $1.00 
264 COLONIAL DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/21/1993, $1.00 
