Address,Municipality,classdesc,usedesc,saledate,saleprice
918 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/7/1972," $22,900.00 "
922 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/29/1965, $-   
928 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/21/1979," $63,000.00 "
1767 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/25/1962, $-   
103 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/21/1981," $110,000.00 "
126 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/11/1983," $95,000.00 "
130 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/7/1975," $45,000.00 "
134 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/4/1977," $60,500.00 "
1739 HELEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/13/1978, $1.00 
1750 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/24/1973, $-   
1762 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/12/1985," $73,000.00 "
1783 THEODAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/13/1972," $47,000.00 "
1718 HOLLY LN PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/8/1969, $-   
187 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,CONDOMINIUM,5/2/1985," $32,200.00 "
0 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,VACANT COMMERCIAL LAND,11/3/1982, $-   
171 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,9/25/1951, $-   
133 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/18/1979," $98,000.00 "
169 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/4/1985, $1.00 
841 NORTHRIDGE DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/28/1977, $-   
849 NORTHRIDGE DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/5/1981," $24,000.00 "
845 NORTHRIDGE DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/21/1977, $-   
12 WINDSOR CT PITTSBURGH PA 15220,Scott  ,RESIDENTIAL,SINGLE FAMILY,10/28/1985," $25,000.00 "
2447 MCMONAGLE AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/9/1982," $79,900.00 "
2431 MCMONAGLE AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/25/1980," $78,930.00 "
